,scientific_name,count
0,Pinus brutia,11
1,Drimia aphylla,8
2,Vitex agnus-castus,7
3,Ceratonia siliqua,7
4,Olea europaea,7
5,Quercus coccifera,6
6,Cyclamen hederifolium,6
7,Quercus aucheri,6
8,Dittrichia viscosa,5
9,Punica granatum,5
15,Platanus orientalis,4
19,Drimia maritima,4
18,Pancratium maritimum,4
16,Pistacia lentiscus,4
17,Opuntia ficus-indica,4
14,Ficus carica,4
10,Narcissus miniatus,4
12,Ruellia simplex,4
11,Pistacia terebinthus,4
13,Asparagus aphyllus,4
23,Arbutus unedo,3
25,Arundo donax,3
24,Hypochaeris glabra,3
22,Smilax excelsa,3
21,Prospero autumnale,3
20,Myrtus communis,3
35,Mentha longifolia,2
43,Selaginella denticulata,2
42,Ziziphus jujuba,2
41,Picnomon acarna,2
40,Arbutus andrachne,2
39,Juniperus phoenicea,2
38,Asplenium ceterach,2
37,Oxalis pes-caprae,2
36,Phagnalon rupestre,2
34,Lycianthes rantonnetii,2
26,Leontodon hispidus,2
33,Limonium virgatum,2
32,Laurus nobilis,2
31,Limonium graecum,2
30,Capparis spinosa aegyptia,2
29,Crithmum maritimum,2
28,Ferula communis,2
27,Sternbergia lutea,2
120,Mesembryanthemum cordifolium,1
121,Verbascum sinuatum,1
122,Acacia saligna,1
123,Tamarix ramosissima,1
124,Ipomoea imperati,1
128,Ficus rubiginosa,1
125,Juncus kraussii,1
126,Eryngium maritimum,1
127,Alhagi maurorum,1
118,Rubus sanctus,1
129,Cenchrus longisetus,1
130,Albizia julibrissin,1
119,Carpobrotus acinaciformis,1
114,Lythrum salicaria,1
117,Calystegia sepium,1
116,Euphorbia marginata,1
115,Daucus carota,1
132,Crataegus orientalis,1
113,Mirabilis jalapa,1
112,Bougainvillea glabra,1
111,Pentanema verbascifolium,1
110,Cydonia oblonga,1
109,Celosia argentea,1
108,Hibiscus rosa-sinensis,1
107,Duranta erecta,1
106,Hibiscus syriacus,1
105,Vitis vinifera,1
131,Tradescantia pallida,1
154,Euphorbia maculata,1
133,Carlina lanata,1
134,Lantana camara,1
161,Agave americana,1
160,Plumbago auriculata,1
159,Polygala myrtifolia,1
158,Tecomaria capensis,1
157,Gomphrena globosa,1
156,Echium plantagineum,1
155,Heliotropium europaeum,1
103,Parthenocissus tricuspidata,1
153,Malva multiflora,1
152,Mercurialis annua,1
151,Ephedra distachya,1
150,Atriplex portulacoides,1
149,Briza maxima,1
148,Acer undulatum,1
147,Calicotome villosa,1
146,Salsola tragus,1
145,Eryngium glomeratum,1
144,Daphne gnidioides,1
143,Xanthium strumarium,1
142,Juncus acutus,1
141,Aloe arborescens,1
140,Erica arborea,1
139,Cocculus carolinus,1
138,Spiranthes spiralis,1
137,Eryngium creticum,1
136,Carlina corymbosa,1
135,Carthamus dentatus,1
104,Elaeagnus angustifolia,1
81,Podranea ricasoliana,1
102,Liquidambar styraciflua,1
57,Arisarum vulgare,1
69,Tribulus terrestris,1
68,Erica manipuliflora,1
67,Dittrichia graveolens,1
66,Sinapis arvensis,1
65,Asphodelus ramosus,1
64,Spartium junceum,1
63,Parthenocissus quinquefolia,1
62,Cystopteris fragilis,1
61,Smilax pumila,1
60,Raphanus raphanistrum,1
59,Asclepias curassavica,1
58,Tagetes minuta,1
56,Smyrnium connatum,1
71,Bellis sylvestris,1
55,Ruscus aculeatus,1
54,Lunularia cruciata,1
53,Rubia tenuifolia,1
52,Capparis spinosa,1
51,Euphorbia dendroides,1
50,Umbilicus rupestris,1
49,Clinopodium alpinum,1
48,Euphorbia chamaesyce,1
47,Lagenaria siceraria,1
46,Pseudodictamnus acetabulosus,1
45,Lepidospartum squamatum,1
44,Capparis zoharyi,1
70,Verbascum mucronatum,1
72,Juniperus turbinata,1
101,Cichorium intybus,1
88,Tricleocarpa fragilis,1
100,Heptapleurum arboricola,1
99,Heliotropium curassavicum,1
98,Phillyrea latifolia,1
97,Medicago sativa,1
96,Smilax aspera,1
95,Morus alba,1
94,Catharanthus roseus,1
93,Styrax officinalis,1
92,Hyoscyamus aureus,1
91,Ephedra foeminea,1
90,Austrocylindropuntia subulata,1
89,Thymbra capitata,1
87,Convolvulus althaeoides althaeoides,1
73,Leucaena leucocephala,1
86,Foeniculum vulgare,1
85,Adiantum capillus-veneris,1
84,Limbarda crithmoides,1
83,Salvia officinalis,1
82,Colchicum variegatum,1
80,Nerium oleander,1
79,Ononis natrix,1
78,Cyclamen graecum anatolicum,1
77,Tamarix aphylla,1
76,Onopordum bracteatum,1
75,Glaucium flavum,1
74,Verbascum nudatum,1
162,Calendula arvensis,1
